ID,Source,Geolocation,Location,State,Sightning date,Post date,Abund,Size,Ecological relation/Other strandings,Human interaction/Accident,Age,Sex,Site,URL 1,URL 2,URL 3,URL 4,URL 5
175,SM,Praia da Redonda,"Icapuí, Ceará",CE,,9/22/2019,,,,,,,,https://www.instagram.com/p/B2tyaJ9g4WZ/,,,,
176,SM,,"Cabedelo, Paraíba",PB,9/25/2019 0:00,9/26/2019,1,,,,,,,https://www.instagram.com/p/B245yumjzDP/,,,,
177,SM,Praia Do Giz,,RN,,9/26/2019,,,,,,,,https://www.instagram.com/p/B247JVon5tm/,,,,
178,SM,Imbassaí,"Igers, Bahia",BA,,9/28/2019,,,,,,,,https://www.instagram.com/p/B28L4_EFjcr/,,,,
179,SM,Baía da Traição,Paraíba,PB,,9/29/2019,,,,,,,,https://www.instagram.com/p/B3AyAZPJCqF/,,,,
180,SM,Santa Rita Beach,,SP,,10/3/2019,bastante,,,,,,,https://www.instagram.com/p/B3JqBXcAKes/,,,,
181,SM,Morro de São Paulo,,BA,,10/5/2019,,,,,,,,https://www.instagram.com/p/B3PYMo5jBkk/,,,,
182,SM,"Jenipabu, Rio Grande Do Norte, Brazil",,RN,,10/6/2019,,,,,,,,https://www.instagram.com/p/B3Ry2E-Fpzn/,,,,
183,SM,Piscinas Naturais TAIPÚ De Fora-Maraú-Ba,,BA,,10/6/2019,,,,touching/ holding the jellyfish,,M,,https://www.instagram.com/p/B3SDPsGHvXV/,,,,
184,SM,Praia Do Futuro Fortaleza Ceará Brazil,,CE,,10/10/2019,5,,,,,,,https://www.instagram.com/p/B3cTYmDgShN/,,,,
185,SM,"Guarajúba, Bahia, Brazil",,BA,,10/10/2019,,,,1 accident,,F,,https://www.instagram.com/p/B3clMPAA-z9/,,,,
186,SM,Paiva,,PE,10/13/2019 0:00,10/13/2019,,,,1 accident,,F,leg,https://www.instagram.com/p/Bo4eXPuh55k/,,,,
187,SM,Bessa Jp,,PB,,10/14/2019,,,,,,,,https://www.instagram.com/p/B3nHVpUp5TD/,,,,
188,SM,Praia do Paiva,Maracaipe,PE,,10/19/2019,,10 cm,,touching/ holding the jellyfish,,M,,https://www.instagram.com/p/B30VWzzgwp6/,,,,
189,SM,Maragogi - Alagoas - Caribe Brasileiro,,AL,10/26/2019 0:00,10/30/2019,,,,,,,,https://www.instagram.com/p/B4QcAnMokHD/,,,,
190,SM,Praia de Piedade,,PE,,10/25/2019,,,,,,,,https://www.instagram.com/p/B4DYyJbhZOO/,,,,
191,SM,Península Do Maraú - Bahia,,BA,11/1/2019 0:00,6/7/2021,,,,,,,,https://www.instagram.com/p/CP0WaGOlCH2/,,,,
192,SM,"Praia Dos Carneiros, Pernambuco, Brazil",,PE,,11/1/2019,,,,,,,,https://www.instagram.com/p/B4VXXHKgPvf/,,,,
193,SM,Praia Pôr Do Sol - Mucuri- Ba,,BA,,11/6/2019,,,,,,,,https://www.instagram.com/p/B4h4J35FFcD/,,,,
194,SM,ILHA DO MEL - Paraná - Brasil,,PR,,11/12/2019,,,,,,,,https://www.instagram.com/p/B4yN7d7H5LU/,,,,
